Y;YA;yotta;Y;1e24;24
Z;ZA;zetta;Z;1e21;21
E;EX;exa;E;1e18;18
P;PT;peta;P;1e15;15
T;TR;tera;T;1e12;12
G;GA;giga;G;1e9;9
M;MA;mega;M;1e6;6
k;K;kilo;k;1e3;3
h;H;hecto;h;1e2;2
da;DA;deka;da;1e1;1
d;D;deci;d;1e-1;-1
c;C;centi;c;1e-2;-2
m;M;milli;m;1e-3;-3
u;U;micro;Î¼;1e-6;-6
n;N;nano;n;1e-9;-9
p;P;pico;p;1e-12;-12
f;F;femto;f;1e-15;-15
a;A;atto;a;1e-18;-18
z;ZO;zepto;z;1e-21;-21
y;YO;yocto;y;1e-24;-24
Ki;KIB;kibi;Ki;1024;0
Mi;MIB;mebi;Mi;1048576;0
Gi;GIB;gibi;Gi;1073741824;0
Ti;TIB;tebi;Ti;1099511627776;0
